artist_name,top1_share,top3_share,top5_share,hhi,n_tracks,total_track_plays
XXXTENTACION,10.91,26.3,39.3,597.6,20,192943649
Yeat,10.34,25.05,37.38,579.8,20,128583583
Young Thug,12.17,29.08,41.91,635.1,20,79843996
YoungBoy Never Broke Again,20.57,38.55,48.88,815.4,20,40226079
ZAYN,18.9,44.2,53.27,925.2,20,68215095
Zach Bryan,12.76,32.64,44.08,667.4,20,65785199
Zara Larsson,21.96,47.14,60.07,1050.7,20,60468634
Zedd,23.15,45.2,59.11,1044.1,20,44141881
aespa,9.67,29.1,42.29,627.7,20,186403968
bbno$,8.52,28.37,46.05,684.0,20,43554242
beabadoobee,14.18,30.42,41.59,653.8,20,207321457
blink-182,13.57,37.74,52.5,763.7,20,151211423
boygenius,18.1,40.73,53.85,840.3,20,96279423
bôa,52.11,74.49,81.53,3092.8,20,76600532
d4vd,29.6,53.41,66.91,1397.7,20,92611716
fakemink,17.3,38.98,50.93,794.2,20,33603533
girl in red,24.01,42.76,56.55,982.9,20,99806396
i-dle,10.75,25.03,49.08,791.1,20,11556589
j-hope,2.23,21.67,31.42,968.8,20,555459206
nettspend,22.03,34.34,49.21,873.0,20,53944782
sombr,30.71,61.92,74.34,1604.6,20,75624170
t.A.T.u.,44.98,60.98,68.12,2251.2,20,32771634
wave to earth,18.43,39.79,54.82,850.8,20,72568001
¥$,18.2,46.08,58.59,932.2,20,68690945
