artist,listeners,chart_weeks,total_streams,best_position,log_listeners,log_chart_weeks,log_total_streams
OneRepublic,4277682,36.0,658833232.0,25.0,6.631208496276075,1.5563025007672873,8.818775497161688
Tyla,1443483,22.0,319551353.0,9.0,6.159411673530444,1.3424226808222062,8.504540660717902
¥$,1449765,5.0,150724564.0,3.0,6.161297610873281,0.6989700043360189,8.178184036258285
Eagles,3790002,2.0,39006993.0,51.0,6.578639439147158,0.3010299956639812,7.59114247238711
Kings of Leon,5093310,2.0,18234905.0,173.0,6.70700010994649,0.3010299956639812,7.260903505073258
d4vd,2264421,29.0,500777540.0,16.0,6.35495717383216,1.462397997898956,8.699644842421222
Stray Kids,1324476,3.0,48416632.0,42.0,6.122044093126266,0.47712125471966244,7.6849945753847555
Kehlani,1659399,7.0,75095272.0,81.0,6.2199508240374595,0.8450980400142568,7.875612594674629
Hotel Ugly,1868622,24.0,229623439.0,82.0,6.271521457656423,1.380211241711606,8.361016216952446
j-hope,1016741,8.0,120599442.0,25.0,6.007210336800612,0.9030899869919435,8.081345298377254
Dave,1257297,12.0,195428899.0,11.0,6.099437879297243,1.0791812460476249,8.290988785320435
Fetty Wap,1668347,1.0,11018120.0,92.0,6.222286384738198,0.0,7.0421074980295
A Boogie wit da Hoodie,1426412,2.0,23422630.0,29.0,6.154244983779091,0.3010299956639812,7.3696356580446105
Khalid,2271778,35.0,337155070.0,94.0,6.356365889501294,1.5440680443502757,8.527829694804495
Sam Smith,3049190,10.0,155461757.0,7.0,6.4841844868057406,1.0,8.191623571713047
Alex Warren,921253,14.0,483662424.0,1.0,5.96437891512092,1.146128035678238,8.684542348121651
Timbaland,3517672,6.0,59449833.0,150.0,6.5462553418778215,0.7781512503836436,7.774150638983636
Avicii,3312458,8.0,67811269.0,131.0,6.5201503803836935,0.9030899869919435,7.831301871711338
Lord Huron,2271718,32.0,503541967.0,15.0,6.356354419184641,1.505149978319906,8.7020356720634
Major Lazer,2931057,1.0,9840618.0,126.0,6.467024264206011,0.0,6.9930223733868235
Creedence Clearwater Revival,4045557,15.0,161430496.0,90.0,6.606978324557164,1.1760912590556813,8.207985581150918
Daddy Yankee,2200125,3.0,37421765.0,52.0,6.34244735594405,0.47712125471966244,7.573124267174776
Sia,4361667,12.0,228004928.0,9.0,6.639652505446491,1.0791812460476249,8.357944233755182
Stevie Wonder,3920214,2.0,20940084.0,121.0,6.593309775306775,0.3010299956639812,7.320978419494844
Marshmello,2534472,12.0,154875151.0,15.0,6.403887497645566,1.0791812460476249,8.18998174281227
The Clash,4110505,1.0,9002489.0,139.0,6.613895180815365,0.0,6.9543625993860365
Zach Bryan,1179653,17.0,528536633.0,20.0,6.071754276503073,1.2304489213782739,8.723075093740695
PEDRO SAMPAIO,550013,4.0,39762468.0,82.0,5.74037295451523,0.6020599913279624,7.599473332604473
Anitta,1189909,9.0,118478749.0,19.0,6.075513749368144,0.9542425094393249,8.073640459884649
Summer Walker,1710382,1.0,9593704.0,169.0,6.233093117388902,0.0,6.9819863148021994
Bon Iver,3533128,1.0,7804790.0,193.0,6.548159371566379,0.0,6.892361222187911
Artemas,1577748,12.0,291255522.0,3.0,6.19803763832264,1.0791812460476249,8.46427416803028
JID,1370698,7.0,76806978.0,45.0,6.136941779092142,0.8450980400142568,7.885400677964169
P!nk,3731132,1.0,8696717.0,197.0,6.571840613784207,0.0,6.939355337921263
Rosé,1644666,17.0,613186705.0,1.0,6.216077714392478,1.2304489213782739,8.7875927299923
Ty Dolla $ign,1643314,5.0,150724564.0,3.0,6.215720555180666,0.6989700043360189,8.178184036258285
KAROL G,1408195,36.0,1344986167.0,2.0,6.1486627979596085,1.5563025007672873,9.128717817701652
The Beach Boys,4092436,2.0,39690851.0,48.0,6.611981896376178,0.3010299956639812,7.598690410588746
Foster the People,3687798,1.0,9172922.0,188.0,6.566767124451021,0.0,6.962507700592126
Leon Thomas,875329,1.0,8903823.0,154.0,5.942171317055793,0.0,6.949576518028432
The Script,2948373,5.0,45475135.0,106.0,6.469582425453801,0.6989700043360189,7.657773997008046
Lil Nas X,2616138,1.0,7982786.0,160.0,6.417660649077981,0.0,6.902154486998114
Bob Marley & The Wailers,3444910,1.0,8628041.0,176.0,6.537177880230889,0.0,6.935912200180096
Ne-Yo,3316511,17.0,164880620.0,96.0,6.5206814420780495,1.2304489213782739,8.2171696118502
Wiz Khalifa,3851111,11.0,96927069.0,85.0,6.585586036408438,1.0413926851582251,7.986445080204837
G-Eazy,2040036,1.0,9062118.0,191.0,6.309637831378545,0.0,6.9572297129320235
Elvis Presley,4458537,2.0,71359136.0,34.0,6.649192375066511,0.3010299956639812,7.853449583062238
Sleep Token,824267,1.0,9652861.0,127.0,5.916067912964182,0.0,6.9846560524485115
Agust D,830721,1.0,40794132.0,21.0,5.91945518924078,0.0,7.610597696832522
Surf Curse,1979505,2.0,19489549.0,133.0,6.29655660306709,0.3010299956639812,7.289801789395838
B.o.B,3154864,1.0,9402054.0,145.0,6.498980642400252,0.0,6.973222741197551
i-dle,475522,3.0,27341456.0,110.0,5.67717061434931,0.47712125471966244,7.436821638100447
Labrinth,2508265,1.0,11271405.0,71.0,6.399373418106814,0.0,7.051978054973814
Toto,3049325,13.0,115588083.0,108.0,6.48420371435706,1.1139433523068367,8.06291306112495
Kelly Clarkson,4475094,6.0,181179499.0,9.0,6.650802162166466,0.7781512503836436,8.25810905440657
Natasha Bedingfield,2959071,15.0,185922446.0,16.0,6.471155385754849,1.1760912590556813,8.26933182433607
Bruce Springsteen,3546912,2.0,37212549.0,43.0,6.549850413623196,0.3010299956639812,7.570689419516806
Jimin,859538,36.0,913340763.0,1.0,5.934265081518133,1.5563025007672873,8.960632840929316
ScHoolboy Q,1966619,1.0,16270479.0,45.0,6.293720230674424,0.0,7.211400338677158
Odetari,1104469,1.0,12449776.0,75.0,6.043153530693758,0.0,7.095161537549096
JVKE,1571503,10.0,152822261.0,21.0,6.19631521442277,1.0,8.184186620766443
Ozzy Osbourne,3089059,1.0,33182077.0,60.0,6.489826203260898,0.0,7.520903566781997
Offset,1448852,2.0,20250461.0,77.0,6.161024024625019,0.3010299956639812,7.306434914339688
Benson Boone,1456781,26.0,984255148.0,1.0,6.163394268557754,1.414973347970818,8.99310769498083
RM,772921,2.0,24962070.0,64.0,5.888135107091184,0.3010299956639812,7.397280596727605
John Lennon,4035893,3.0,71234665.0,16.0,6.605939643658639,0.47712125471966244,7.8526913862569385
The White Stripes,4815044,2.0,18844959.0,146.0,6.6826002600732,0.3010299956639812,7.2751951969146695
Tainy,784846,4.0,43535094.0,31.0,5.894784449214797,0.6020599913279624,7.63883948651546
