artist_name,was_on_chart,listeners,playcount,total_events,events_last_year,total_chart_streams,chart_weeks,peak_position,first_chart_date,last_chart_date
Harry Styles,True,3197410,403975946,66,1.0,737417046.0,35.0,2.0,2023-02-23,2026-02-26
Hearts2Hearts,False,317554,16162545,3,,,,,,
Hole,False,2080548,71026833,1,,,,,,
IVE,True,1025917,154815663,2,,11162721.0,1.0,72.0,2023-04-27,2023-04-27
J Balvin,True,1805392,62920070,4,,100854405.0,10.0,33.0,2023-02-23,2026-02-26
J. Cole,True,3807253,298561920,67,,231110539.0,15.0,17.0,2023-02-23,2024-05-30
JID,True,1370698,103504171,17,,76806978.0,7.0,45.0,2023-02-23,2024-03-28
Jamiroquai,False,2853958,102915643,1,,,,,,
Jane Remover,False,500002,52098257,1,,,,,,
Jason Derulo,False,3080732,59804257,1,,,,,,
Jennie,True,1459036,105643692,1,,846030614.0,29.0,3.0,2023-10-26,2026-02-26
Jennifer Lopez,False,3738601,71653651,8,2.0,,,,,
Jhené Aiko,False,1366120,69159350,1,1.0,,,,,
Joji,True,2956634,361580479,31,,45197849.0,5.0,74.0,2023-02-23,2025-10-30
Jordana,False,1247480,27412321,7,,,,,,
Julia Wolf,False,557762,12600132,4,1.0,,,,,
KATSEYE,True,1479403,91924770,1,,300584800.0,12.0,10.0,2024-09-26,2026-02-26
KAYTRANADA,False,1544296,74334340,10,,,,,,
Kali Uchis,True,3011779,307120156,3,,654761217.0,35.0,11.0,2023-03-30,2026-02-26
Kate Bush,True,3411549,142325589,4,,35273558.0,3.0,28.0,2026-01-01,2026-02-26
Katy Perry,True,7048299,429941777,4,,26888195.0,3.0,144.0,2025-05-01,2025-06-26
Keane,True,3997883,116470042,3,,346939855.0,36.0,80.0,2023-02-23,2026-02-26
Kehlani,True,1659399,67873239,1,,75095272.0,7.0,81.0,2025-08-28,2026-02-26
Kelly Clarkson,True,4475094,131217035,11,,181179499.0,6.0,9.0,2023-11-30,2026-01-01
Ken Carson,False,1141879,276030224,7,,,,,,
Kesha,True,3086977,114670089,14,,25319672.0,2.0,73.0,2024-12-26,2025-06-26
Khalid,True,2271778,94851741,25,,337155070.0,35.0,94.0,2023-02-23,2026-02-26
Kid Cudi,False,4648881,270325355,33,,,,,,
Kings of Leon,True,5093310,264674186,14,,18234905.0,2.0,173.0,2024-08-29,2024-09-26
Kodak Black,True,1780237,103284887,5,,27215200.0,2.0,22.0,2023-06-01,2023-06-29
Korn,False,3368573,245665839,2,,,,,,
Labrinth,True,2508265,73412582,3,,11271405.0,1.0,71.0,2023-04-27,2023-04-27
Lady Gaga,True,7632370,1011759640,15,,1157385738.0,20.0,1.0,2023-02-23,2026-02-26
Laufey,True,2268345,246922075,5,1.0,135985666.0,11.0,33.0,2023-07-27,2026-02-26
Lauv,True,1735659,76866147,25,,11279309.0,1.0,99.0,2025-01-30,2025-01-30
Led Zeppelin,False,4897283,338249344,1,,,,,,
Leon Thomas,True,875329,21079975,39,,8903823.0,1.0,154.0,2025-05-01,2025-05-01
Lil Wayne,True,3529811,164668622,3,,97384374.0,6.0,25.0,2023-06-29,2025-02-27
Lil Yachty,False,1783282,129785469,1,,,,,,
Lily Allen,False,3731003,129239405,42,1.0,,,,,
Limp Bizkit,False,4078832,175083167,10,,,,,,
Linkin Park,True,6856669,726615747,14,,724627470.0,29.0,9.0,2023-02-23,2026-02-26
Lisa,True,1919588,125766134,4,,143936991.0,8.0,14.0,2023-08-31,2025-03-27
Lit,False,1284456,12930803,9,,,,,,
Lola Young,True,1152073,25873763,5,,353314600.0,16.0,8.0,2024-10-31,2026-02-26
Lord Huron,True,2271718,71637214,20,,503541967.0,32.0,15.0,2023-07-27,2026-02-26
Lorde,True,3672072,436545887,20,,48199175.0,3.0,19.0,2024-06-27,2025-05-29
Lucki,False,1135578,283254620,2,,,,,,
Lykke Li,False,3106961,96800791,5,,,,,,
Mac DeMarco,True,3198917,337956905,27,,15429983.0,2.0,173.0,2023-02-23,2023-03-30
Mac Miller,False,3466486,422425806,1,,,,,,
Madison Beer,True,1638084,105326464,31,,35269322.0,4.0,154.0,2024-03-28,2026-01-29
Madonna,True,5520985,355367626,1,,188348221.0,13.0,12.0,2023-06-29,2024-06-27
Magdalena Bay,False,1410653,110048601,2,,,,,,
Major Lazer,True,2931057,68415415,8,,9840618.0,1.0,126.0,2026-01-29,2026-01-29
Malcolm Todd,False,1128902,73140615,4,,,,,,
Marina,False,2213425,177329693,6,,,,,,
Maroon 5,True,6564586,281970159,4,,139600905.0,16.0,85.0,2023-03-30,2026-02-26
Marshmello,True,2534472,67374129,5,,154875151.0,12.0,15.0,2023-03-30,2024-03-28
Marvin Gaye,True,3711394,88715282,1,,8436078.0,1.0,195.0,2024-02-01,2024-02-01
Massive Attack,False,3825546,185985377,3,,,,,,
Matt Maltese,False,1712156,67167177,3,,,,,,
Melanie Martinez,False,2262252,238982224,1,,,,,,
Men I Trust,False,2134749,123553821,7,,,,,,
Metric,False,2809277,110623159,20,,,,,,
Metro Boomin,True,2441400,239901919,1,,904374691.0,21.0,4.0,2023-02-23,2025-03-27
Miguel,True,2647242,76967621,28,1.0,192680997.0,18.0,23.0,2023-02-23,2025-03-27
Mitski,True,3201407,643218175,12,2.0,321987141.0,18.0,3.0,2023-09-28,2025-02-27
Mother Mother,False,1902369,102754293,4,,,,,,
Mumford & Sons,False,2667238,136918270,44,,,,,,
Muse,False,6326491,564793915,1,,,,,,
My Chemical Romance,False,4784939,532508768,25,,,,,,
NMIXX,False,722228,82438333,10,,,,,,
Natasha Bedingfield,True,2959071,42856083,4,,185922446.0,15.0,16.0,2024-02-01,2025-07-31
Ne-Yo,True,3316511,63158035,66,,164880620.0,17.0,96.0,2024-05-30,2026-02-26
Neil Young,False,2696140,110695225,6,,,,,,
Nickelback,False,4322864,150218929,4,,,,,,
Nine Inch Nails,False,3570426,314829395,7,2.0,,,,,
Nirvana,True,7457169,571999238,1,1.0,168022847.0,13.0,114.0,2025-02-27,2026-02-26
No Doubt,False,3558092,83431544,18,,,,,,
Noah Kahan,True,1537923,167058915,31,,285457307.0,18.0,8.0,2023-07-27,2026-02-26
Oasis,True,5817393,323063577,8,,49662076.0,5.0,94.0,2024-08-29,2026-01-01
Olivia Dean,True,1335764,65672603,39,,464744426.0,7.0,3.0,2025-08-28,2026-02-26
OneRepublic,True,4277682,134022465,7,,658833232.0,36.0,25.0,2023-02-23,2026-02-26
OsamaSon,False,427129,109020796,2,,,,,,
P!nk,True,3731132,122141424,3,,8696717.0,1.0,197.0,2024-08-29,2024-08-29
PEDRO SAMPAIO,True,550013,29298466,4,,39762468.0,4.0,82.0,2025-10-30,2026-02-26
Panchiko,False,1122829,78975114,30,,,,,,
Pantera,False,2591476,131186274,6,,,,,,
Pearl Jam,False,4319791,250731278,1,,,,,,
Phantogram,False,1912973,47356064,17,,,,,,
Pierce the Veil,True,2041985,258363509,14,,8270513.0,1.0,175.0,2025-08-28,2025-08-28
Pink Floyd,False,5495214,601824371,1,,,,,,
PinkPantheress,True,2922490,302010843,24,,205656274.0,11.0,3.0,2023-02-23,2026-02-26
Pitbull,True,4341486,105486701,61,,172908951.0,17.0,96.0,2024-05-30,2026-02-26
Pixies,False,4235805,213475512,14,,,,,,
Playboi Carti,True,2438179,765040341,27,,927958805.0,33.0,11.0,2023-06-29,2026-02-26
Post Malone,True,3483537,326543547,25,,916884870.0,31.0,1.0,2023-02-23,2026-02-26
Prince,True,3263324,101039453,30,,19131137.0,2.0,94.0,2026-01-29,2026-02-26
Queen,True,7160666,420132600,5,1.0,35340243.0,2.0,59.0,2023-12-28,2024-12-26
Queens of the Stone Age,False,3709970,252435117,25,,,,,,
R.E.M.,False,4333332,154654403,6,1.0,,,,,
RAYE,True,1797157,55543998,53,,382928264.0,24.0,6.0,2023-02-23,2026-02-26
ROLE MODEL,False,1022930,51858983,3,,,,,,
ROSALÍA,True,1821645,194964491,37,,287748136.0,15.0,5.0,2023-02-23,2026-02-26
Radiohead,True,8149620,1346223611,14,,418359275.0,27.0,29.0,2023-06-01,2026-02-26
Rae Sremmurd,False,1871366,45311412,1,,,,,,
Rage Against the Machine,False,4219440,161518805,1,,,,,,
Ravyn Lenae,True,1640640,43017207,4,,206519108.0,12.0,8.0,2025-03-27,2026-02-26
Reneé Rapp,False,982162,79507452,10,,,,,,
Rosé,True,1644666,102733900,1,,613186705.0,17.0,1.0,2024-10-31,2026-02-26
Sam Smith,True,3049190,111853937,6,2.0,155461757.0,10.0,7.0,2023-02-23,2025-01-30
Sean Paul,True,3140189,48438356,6,,47897234.0,4.0,55.0,2023-04-27,2026-02-26
Seventeen,False,927181,284920887,1,1.0,,,,,
Slayyyter,False,783468,49188391,1,,,,,,
Sleeping With Sirens,False,1165264,74015159,4,,,,,,
Slipknot,False,4168449,356582811,1,,,,,,
Slowdive,False,2181345,144021723,4,,,,,,
Snow Strippers,False,852051,53842718,7,,,,,,
Steely Dan,False,1747762,72043648,1,,,,,,
Stevie Wonder,True,3920214,110329025,4,,20940084.0,2.0,121.0,2023-12-28,2024-12-26
Stone Temple Pilots,False,2470260,72195808,37,,,,,,
Stray Kids,True,1324476,477369907,1,,48416632.0,3.0,42.0,2024-08-01,2025-11-27
Sublime,False,3080178,121707102,14,,,,,,
Summer Walker,True,1710382,107057544,20,,9593704.0,1.0,169.0,2024-04-25,2024-04-25
Swedish House Mafia,False,2682111,53121052,3,,,,,,
System of a Down,False,5761070,503652324,11,,,,,,
TV Girl,True,2784803,282983259,5,1.0,201059740.0,21.0,107.0,2023-03-30,2025-03-27
TWICE,True,1869503,488851948,21,2.0,74322292.0,4.0,52.0,2025-07-31,2025-10-30
