artist_name,total_events,weekend_events,countries,cities,pct_weekend,lead_time_days,touring_status,future_events,pct_future_events,events_last_year,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,capital_events,non_capital_events,pct_capital,capital_ratio,unique_capitals,unique_non_capitals,pct_capital_cities,avg_days_between_shows,top1_share,top3_share,top5_share,hhi,n_tracks,total_track_plays,listeners,playcount,tags
Chris Brown,1,1,1,1,100.0,39.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Sunrise,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,11.69,34.27,48.1,710.4,20.0,67190509.0,4725075,156664824,"rnb, Hip-Hop, Chris Brown, rap, hip hop"
Chris Isaak,8,3,4,8,37.5,208.0,active_tour,7,87.5,1.0,0,8,0.0,0.0,0.0,Weert,1,2.0,6.0,25.0,0.333,2.0,6.0,25.0,17.7,67.48,77.4,83.99,4649.4,20.0,25015227.0,2018959,31864722,"rock, blues, singer-songwriter, 80s, pop"
Christina Aguilera,4,1,3,4,25.0,127.0,active_tour,4,100.0,,0,4,0.0,0.0,0.0,Durant,1,1.0,3.0,25.0,0.333,1.0,3.0,25.0,14.0,13.92,30.04,44.26,700.7,20.0,71171630.0,4433255,206649194,"pop, female vocalists, soul, rnb, dance"
Clean Bandit,1,1,1,1,100.0,197.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Milton Keynes,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,27.55,56.78,73.98,1445.0,20.0,41123691.0,2519621,50037289,"electronic, indie, experimental, british, electronica"
Coldplay,5,2,1,5,40.0,329.0,active_tour,5,100.0,,0,5,0.0,0.0,0.0,Nuneaton,1,0.0,5.0,0.0,0.0,0.0,5.0,0.0,45.2,10.62,30.64,44.65,674.8,20.0,360857486.0,9025427,773360893,"rock, alternative, britpop, alternative rock, indie"
Conan Gray,27,10,14,25,37.04,174.0,active_tour,25,92.59,2.0,1,24,4.0,0.042,11.11,London,3,9.0,18.0,33.33,0.5,7.0,18.0,28.0,7.7,13.34,29.73,46.17,669.5,20.0,159122080.0,2382472,245504939,"pop, indie pop, indie, my top songs, yearning"
Creed,14,6,2,10,42.86,,active_tour,13,92.86,1.0,2,8,20.0,0.25,42.86,Craven,4,0.0,14.0,0.0,0.0,0.0,10.0,0.0,10.5,23.94,49.4,68.38,1166.8,20.0,44352069.0,2420420,56758860,"rock, alternative rock, hard rock, Grunge, alternative"
Creedence Clearwater Revival,8,3,2,8,37.5,296.0,active_tour,8,100.0,,0,8,0.0,0.0,0.0,Hjørring,1,1.0,7.0,12.5,0.143,1.0,7.0,12.5,29.7,19.38,44.73,55.36,908.5,20.0,92473470.0,4049387,121075199,"classic rock, rock, Southern Rock, 60s, folk"
DJ Snake,3,3,1,3,100.0,137.0,active_tour,3,100.0,,0,3,0.0,0.0,0.0,Chicago,1,0.0,3.0,0.0,0.0,0.0,3.0,0.0,63.0,23.7,46.31,58.34,1101.1,20.0,40252585.0,2558506,47858466,"trap, electronic, dance, EDM, french"
Daft Punk,3,3,1,3,100.0,147.0,active_tour,3,100.0,,0,3,0.0,0.0,0.0,Fontana,1,0.0,3.0,0.0,0.0,0.0,3.0,0.0,17.5,10.6,25.84,41.48,615.6,20.0,175147167.0,6255945,402158386,"electronic, House, dance, techno, electronica"
