artist,listeners,in_chart,chart_weeks,total_streams,best_position
Alice in Chains,3411263,False,0.0,0.0,
Bring Me the Horizon,2789482,False,0.0,0.0,
Demi Lovato,3334640,False,0.0,0.0,
Avril Lavigne,5073928,False,0.0,0.0,
Ed Sheeran,4161226,True,32.0,904715982.0,19.0
Jennie,1459036,True,29.0,846030614.0,3.0
ILLIT,1111486,True,6.0,84074377.0,33.0
Lizzy McAlpine,1392107,True,4.0,43449120.0,45.0
Chase Atlantic,1824534,True,5.0,56112187.0,64.0
Mazzy Star,2681004,False,0.0,0.0,
The Kid LAROI,2447299,True,27.0,426420216.0,14.0
50 Cent,4868179,False,0.0,0.0,
Blood Orange,1932824,False,0.0,0.0,
Young Thug,1848928,True,8.0,85211422.0,77.0
aespa,1296200,True,4.0,59883124.0,50.0
Trippie Redd,1859419,False,0.0,0.0,
The Cardigans,3606916,False,0.0,0.0,
Selena Gomez,3130971,True,22.0,351079402.0,11.0
Faye Webster,1755637,False,0.0,0.0,
Chief Keef,1715350,False,0.0,0.0,
Tears for Fears,3907961,True,26.0,242253064.0,63.0
Elton John,5171397,True,17.0,229239231.0,24.0
Nicki Minaj,4699361,True,10.0,132456965.0,7.0
Chris Brown,4721507,True,7.0,124229514.0,43.0
Florence   The Machine,17115,False,0.0,0.0,
Usher,4968505,True,1.0,8413514.0,188.0
Slowdive,2181345,False,0.0,0.0,
Three Days Grace,3836042,False,0.0,0.0,
Imagine Dragons,4021563,True,28.0,570255535.0,38.0
Madison Beer,1638084,True,4.0,35269322.0,154.0
Empire of the Sun,2984014,True,7.0,66675164.0,110.0
Korn,3368573,False,0.0,0.0,
Lil Tecca,1742450,True,11.0,130798200.0,23.0
Cage the Elephant,3345543,False,0.0,0.0,
Gwen Stefani,4408955,True,2.0,32486495.0,63.0
Ellie Goulding,3907039,True,7.0,69961384.0,63.0
Frank Sinatra,4885987,True,3.0,161744561.0,21.0
5 Seconds of Summer,2228692,False,0.0,0.0,
Lil Baby,1592233,True,4.0,70653003.0,17.0
The Rolling Stones,5779078,False,0.0,0.0,
Kodak Black,1780237,True,2.0,27215200.0,22.0
Ravyn Lenae,1640640,True,12.0,206519108.0,8.0
Ken Carson,1141879,False,0.0,0.0,
Lil Yachty,1783282,False,0.0,0.0,
Big Thief,1625085,False,0.0,0.0,
Panchiko,1122829,False,0.0,0.0,
Grimes,2627478,False,0.0,0.0,
She & Him,1676027,True,3.0,54574346.0,16.0
Prince,3263324,True,2.0,19131137.0,94.0
Miguel,2647242,True,18.0,192680997.0,23.0
Imogen Heap,3006148,True,6.0,62382258.0,72.0
Amy Winehouse,4581562,False,0.0,0.0,
Ethel Cain,1240159,False,0.0,0.0,
Men I Trust,2134749,False,0.0,0.0,
Magdalena Bay,1410653,False,0.0,0.0,
$uicideboy$,1563970,False,0.0,0.0,
blink-182,4589449,False,0.0,0.0,
The Goo Goo Dolls,2580946,True,27.0,401231401.0,12.0
IVE,1025917,True,1.0,11162721.0,72.0
Lucki,1135578,False,0.0,0.0,
Led Zeppelin,4897283,False,0.0,0.0,
Cardi B,2385192,True,1.0,9812988.0,138.0
Pearl Jam,4319791,False,0.0,0.0,
Charlie Puth,2410781,True,15.0,165791587.0,82.0
Sean Paul,3140189,True,4.0,47897234.0,55.0
The Chainsmokers,2761881,True,27.0,375763769.0,62.0
Snow Strippers,852051,False,0.0,0.0,
Jung Kook,1431318,True,36.0,942654754.0,1.0
Shawn Mendes,2672470,True,1.0,7915471.0,196.0
Björk,3420993,True,2.0,20858988.0,91.0
Pixies,4235805,False,0.0,0.0,
2Pac,4119764,False,0.0,0.0,
Crystal Castles,3141483,False,0.0,0.0,
Guns N' Roses,5142461,True,10.0,86446301.0,129.0
Red Velvet,1368614,False,0.0,0.0,
Black Sabbath,4354764,True,1.0,25897960.0,33.0
ENHYPEN,1103348,True,1.0,10413428.0,97.0
Marvin Gaye,3711394,True,1.0,8436078.0,195.0
Mariah Carey,5021918,True,6.0,305715700.0,1.0
Lisa,1919588,True,8.0,143936991.0,14.0
Gigi Perez,1363612,True,19.0,391915013.0,8.0
MF DOOM,2271261,False,0.0,0.0,
J Balvin,1805392,True,10.0,100854405.0,33.0
Thundercat,2002717,False,0.0,0.0,
girl in red,2448299,True,3.0,32193042.0,82.0
Strawberry Guy,1688579,False,0.0,0.0,
Flo Rida,4118878,False,0.0,0.0,
Daryl Hall & John Oates,2504835,True,2.0,28885710.0,75.0
Glass Animals,2575687,True,19.0,192306378.0,53.0
ZAYN,2214428,True,1.0,10579763.0,106.0
Wallows,2041410,False,0.0,0.0,
Adrianne Lenker,1316338,False,0.0,0.0,
Marina Sena,474594,False,0.0,0.0,
FKA twigs,1644501,False,0.0,0.0,
Depeche Mode,4402883,False,0.0,0.0,
Billy Idol,3019938,False,0.0,0.0,
The Notorious B.I.G.,3075955,False,0.0,0.0,
The Offspring,4537431,False,0.0,0.0,
Rauw Alejandro,1076427,True,32.0,671683833.0,5.0
XG,801381,False,0.0,0.0,
Camila Cabello,2365581,False,0.0,0.0,
Bryson Tiller,1673484,True,4.0,49924258.0,50.0
Blur,4721514,False,0.0,0.0,
DJ Snake,2554391,True,11.0,117622213.0,35.0
Aphex Twin,2996970,False,0.0,0.0,
Fontaines D.C.,1068219,False,0.0,0.0,
AC/DC,4509544,True,7.0,80889699.0,155.0
Fred again..,1265826,True,1.0,9462453.0,123.0
2hollis,765293,False,0.0,0.0,
Elliott Smith,2924015,False,0.0,0.0,
Duran Duran,3130713,False,0.0,0.0,
HUNTR/X,1114812,True,9.0,632882467.0,1.0
Bob Dylan,4266431,False,0.0,0.0,
OneRepublic,4277682,True,36.0,658833232.0,25.0
Willow,2298418,False,0.0,0.0,
Tyla,1443483,True,22.0,319551353.0,9.0
Sublime,3080178,False,0.0,0.0,
Denzel Curry,1606417,False,0.0,0.0,
¥$,1449765,True,5.0,150724564.0,3.0
Eagles,3790002,True,2.0,39006993.0,51.0
Kings of Leon,5093310,True,2.0,18234905.0,173.0
d4vd,2264421,True,29.0,500777540.0,16.0
bbno$,1476522,False,0.0,0.0,
Stray Kids,1324476,True,3.0,48416632.0,42.0
Tove Lo,2406366,False,0.0,0.0,
Kehlani,1659399,True,7.0,75095272.0,81.0
Nine Inch Nails,3570426,False,0.0,0.0,
Ayesha Erotica,1159355,False,0.0,0.0,
Talking Heads,3216634,False,0.0,0.0,
TOMORROW X TOGETHER,1201974,False,0.0,0.0,
