artist_name,total_events,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,listeners
Lord Huron,20,1,18,5.26,0.056,10.0,Bonner,2,2274683
Lorde,20,4,11,26.67,0.364,45.0,Napa,3,3675693
Lucki,2,1,0,100.0,,100.0,Toronto,2,1137262
Lykke Li,5,0,5,0.0,0.0,0.0,Helsinki,1,3112133
Mac DeMarco,27,2,22,8.33,0.091,18.52,London,3,3203407
Mac Miller,1,0,1,0.0,0.0,0.0,Atlanta,1,3471101
Madison Beer,31,0,31,0.0,0.0,0.0,Manchester,1,1641194
Madonna,1,0,1,0.0,0.0,0.0,San Leandro,1,5528051
Magdalena Bay,2,0,2,0.0,0.0,0.0,Bloomington,1,1413906
Major Lazer,8,1,5,16.67,0.2,37.5,Yesodot,3,2935616
Malcolm Todd,4,1,1,50.0,1.0,75.0,San Francisco,3,1137463
Marina,6,0,6,0.0,0.0,0.0,Bristol,1,2219915
Maroon 5,4,0,4,0.0,0.0,0.0,London,1,6570948
Marshmello,5,1,3,25.0,0.333,40.0,Las Vegas,2,2537844
Marvin Gaye,1,0,1,0.0,0.0,0.0,San Leandro,1,3716390
Massive Attack,3,0,3,0.0,0.0,0.0,København S,1,3829254
Matt Maltese,3,0,3,0.0,0.0,0.0,Brisbane,1,1714246
Melanie Martinez,1,0,1,0.0,0.0,0.0,Toronto,1,2266441
Men I Trust,7,0,7,0.0,0.0,0.0,Praha 1,1,2137673
Metallica,35,4,5,44.44,0.8,85.71,Las Vegas,24,5133589
Metric,20,2,16,11.11,0.125,20.0,San Francisco,2,2814702
Metro Boomin,1,0,1,0.0,0.0,0.0,Atlanta,1,2445575
Miguel,26,0,26,0.0,0.0,0.0,Cologne,1,2650534
Mitski,10,1,5,16.67,0.2,50.0,Los Angeles,5,3208965
Mother Mother,4,0,4,0.0,0.0,0.0,Spokane,1,1904919
Mumford & Sons,44,4,35,10.26,0.114,20.45,New York,3,2670964
Muse,1,0,1,0.0,0.0,0.0,Milwaukee,1,6331374
My Chemical Romance,25,2,17,10.53,0.118,32.0,Hollywood,5,4789786
NMIXX,10,0,10,0.0,0.0,0.0,London,1,725889
Natasha Bedingfield,4,0,4,0.0,0.0,0.0,Co Wicklow,1,2964829
Ne-Yo,66,5,52,8.77,0.096,21.21,London,4,3319707
Nickelback,4,0,4,0.0,0.0,0.0,Southampton,1,4326013
Nine Inch Nails,5,0,5,0.0,0.0,0.0,San Diego,1,3573623
Nirvana,1,0,1,0.0,0.0,0.0,Dublin,1,7463138
No Doubt,18,1,0,100.0,,100.0,Las Vegas,18,3561415
Noah Kahan,31,6,17,26.09,0.353,45.16,Boston,4,1540832
Oasis,8,1,6,14.29,0.167,25.0,Linlithgow,2,5822011
Olivia Dean,39,11,11,50.0,1.0,71.79,London,6,1347082
OneRepublic,7,0,7,0.0,0.0,0.0,London,1,4281363
OsamaSon,2,0,2,0.0,0.0,0.0,Toronto,1,429085
P!nk,3,1,1,50.0,1.0,66.67,Ciudad de México,2,3734368
PEDRO SAMPAIO,4,0,4,0.0,0.0,0.0,Miami Beach,1,552255
Panchiko,30,3,22,12.0,0.136,26.67,Anaheim,4,1126757
Pantera,6,1,4,20.0,0.25,33.33,London,2,2593876
Pearl Jam,1,0,1,0.0,0.0,0.0,Chicago,1,4322943
Phantogram,17,2,13,13.33,0.154,23.53,Hamburg,2,1916855
Pierce the Veil,14,1,12,7.69,0.083,14.29,Honolulu,2,2046090
Pink Floyd,1,0,1,0.0,0.0,0.0,Ciudad de México,1,5500737
PinkPantheress,24,5,14,26.32,0.357,41.67,London,2,2940022
Pitbull,61,1,59,1.67,0.017,3.28,Praha 9,2,4347656
Pixies,14,4,6,40.0,0.667,57.14,Werchter,2,4238889
Playboi Carti,27,9,2,81.82,4.5,92.59,London,5,2441421
Post Malone,25,2,20,9.09,0.1,20.0,Fort Lauderdale,3,3487639
Prince,30,2,26,7.14,0.077,13.33,Rosemont,2,3271069
Queen,4,0,4,0.0,0.0,0.0,Reading,1,7165526
Queens of the Stone Age,25,2,21,8.7,0.095,16.0,London,2,3712518
R.E.M.,6,0,6,0.0,0.0,0.0,Southampton,1,4336303
RAYE,53,12,22,35.29,0.545,58.49,Inglewood,4,1805189
ROLE MODEL,3,0,3,0.0,0.0,0.0,Manchester,1,1024914
ROSALÍA,37,9,12,42.86,0.75,67.57,Ciudad de México,5,1825700
Radiohead,14,0,14,0.0,0.0,0.0,Newcastle Upon Tyne,1,8156054
Rae Sremmurd,1,0,1,0.0,0.0,0.0,Tampere,1,1874744
Rage Against the Machine,1,0,1,0.0,0.0,0.0,North Myrtle Beach,1,4222772
Ravyn Lenae,4,0,4,0.0,0.0,0.0,Austin,1,1646457
Reneé Rapp,10,2,6,25.0,0.333,40.0,Werchter,2,983470
Rosé,1,0,1,0.0,0.0,0.0,Berlin,1,1648084
Sam Smith,4,1,0,100.0,,100.0,San Francisco,4,3052030
Sean Paul,6,0,6,0.0,0.0,0.0,Wabern bei Bern,1,3147458
Sienna Spiro,17,2,12,14.29,0.167,29.41,San Francisco,3,342136
Slayyyter,1,0,1,0.0,0.0,0.0,Queens,1,787641
Sleeping With Sirens,4,0,4,0.0,0.0,0.0,Sacramento,1,1167609
Slipknot,1,0,1,0.0,0.0,0.0,Fort Worth,1,4171898
