artist_name,total_events,capital_events,non_capital_events,pct_capital,capital_ratio,unique_capitals,unique_non_capitals,pct_capital_cities,listeners
Baby Keem,45,3.0,42.0,6.67,0.071,3.0,34.0,8.11,1993022
Bad Bunny,26,16.0,10.0,61.54,1.6,5.0,5.0,50.0,2487357
Bad Omens,20,2.0,18.0,10.0,0.111,1.0,15.0,6.25,774007
Bee Gees,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3405065
Benson Boone,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1459365
Big Thief,13,8.0,5.0,61.54,1.6,4.0,3.0,57.14,1629811
BigXthaPlug,6,2.0,4.0,33.33,0.5,2.0,4.0,33.33,929893
Billy Idol,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3024417
Billy Joel,5,0.0,5.0,0.0,0.0,0.0,5.0,0.0,4005717
Black Eyed Peas,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5662158
Blondie,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3396653
Blood Orange,8,0.0,8.0,0.0,0.0,0.0,6.0,0.0,1937417
Bob Dylan,23,0.0,23.0,0.0,0.0,0.0,23.0,0.0,4269862
Bon Jovi,14,4.0,10.0,28.57,0.4,2.0,2.0,50.0,4212207
Bring Me the Horizon,18,0.0,18.0,0.0,0.0,0.0,17.0,0.0,2792465
Britney Spears,4,1.0,3.0,25.0,0.333,1.0,3.0,25.0,6378577
Bruce Springsteen,20,0.0,20.0,0.0,0.0,0.0,18.0,0.0,3549214
Bruno Mars,80,15.0,65.0,18.75,0.231,4.0,30.0,11.76,5158847
Bryson Tiller,1,1.0,0.0,100.0,,1.0,0.0,100.0,1675720
Cage the Elephant,3,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3348679
Calvin Harris,12,1.0,11.0,8.33,0.091,1.0,7.0,12.5,4947582
Cardi B,22,1.0,21.0,4.55,0.048,1.0,19.0,5.0,2389266
Cavetown,12,3.0,9.0,25.0,0.333,2.0,9.0,18.18,1611788
Charli xcx,5,0.0,5.0,0.0,0.0,0.0,3.0,0.0,3710200
Charlie Puth,42,5.0,37.0,11.9,0.135,5.0,37.0,11.9,2415069
Chevelle,36,1.0,35.0,2.78,0.029,1.0,35.0,2.78,1807199
Chief Keef,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1718448
Childish Gambino,5,0.0,5.0,0.0,0.0,0.0,5.0,0.0,3749738
Chris Brown,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4725075
Chris Isaak,8,2.0,6.0,25.0,0.333,2.0,6.0,25.0,2018959
Christina Aguilera,4,1.0,3.0,25.0,0.333,1.0,3.0,25.0,4433255
Clean Bandit,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2519621
Coldplay,5,0.0,5.0,0.0,0.0,0.0,5.0,0.0,9025427
Conan Gray,27,9.0,18.0,33.33,0.5,7.0,18.0,28.0,2382472
Creed,14,0.0,14.0,0.0,0.0,0.0,10.0,0.0,2420420
Creedence Clearwater Revival,8,1.0,7.0,12.5,0.143,1.0,7.0,12.5,4049387
DJ Snake,3,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2558506
Daft Punk,3,0.0,3.0,0.0,0.0,0.0,3.0,0.0,6255945
Daniel Caesar,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2306543
Dave,38,0.0,38.0,0.0,0.0,0.0,29.0,0.0,1261916
David Guetta,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5166510
Deftones,7,2.0,5.0,28.57,0.4,2.0,5.0,28.57,4170076
Demi Lovato,23,0.0,23.0,0.0,0.0,0.0,23.0,0.0,3340127
Denzel Curry,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1609654
Destroy Lonely,4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,888189
Dire Straits,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3493158
Disclosure,20,0.0,20.0,0.0,0.0,0.0,13.0,0.0,2442046
Djo,24,0.0,24.0,0.0,0.0,0.0,14.0,0.0,2263774
Doja Cat,41,5.0,36.0,12.2,0.139,5.0,36.0,12.2,3566631
Dominic Fike,13,0.0,13.0,0.0,0.0,0.0,11.0,0.0,2348884
Don Toliver,35,0.0,35.0,0.0,0.0,0.0,34.0,0.0,2447590
Drake,12,0.0,12.0,0.0,0.0,0.0,11.0,0.0,6651918
Duran Duran,7,0.0,7.0,0.0,0.0,0.0,4.0,0.0,3134668
Eagles,9,0.0,9.0,0.0,0.0,0.0,4.0,0.0,3793946
"Earth, Wind & Fire",47,0.0,47.0,0.0,0.0,0.0,44.0,0.0,2914538
Ed Sheeran,28,1.0,27.0,3.57,0.037,1.0,22.0,4.35,4165203
Electric Light Orchestra,8,0.0,8.0,0.0,0.0,0.0,8.0,0.0,2947864
Elton John,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5175290
Eminem,2,1.0,1.0,50.0,1.0,1.0,1.0,50.0,7731247
Empire of the Sun,11,2.0,9.0,18.18,0.222,2.0,7.0,22.22,2990884
EsDeeKid,4,1.0,3.0,25.0,0.333,1.0,3.0,25.0,883871
Ethel Cain,28,1.0,27.0,3.57,0.037,1.0,21.0,4.55,1242897
Evanescence,39,1.0,38.0,2.56,0.026,1.0,38.0,2.56,4446000
Exo,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1035039
FKA twigs,22,3.0,19.0,13.64,0.158,3.0,18.0,14.29,1646719
Fetty Wap,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1672181
Fleetwood Mac,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4813973
Flo Rida,9,0.0,9.0,0.0,0.0,0.0,9.0,0.0,4123924
Fontaines D.C.,3,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1073062
Foo Fighters,23,2.0,21.0,8.7,0.095,2.0,18.0,10.0,6317453
Foster the People,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3691507
Frank Sinatra,35,35.0,0.0,100.0,,1.0,0.0,100.0,4890118
Freddie Gibbs,20,4.0,16.0,20.0,0.25,3.0,15.0,16.67,1280329
Future,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3175567
Geese,23,4.0,19.0,17.39,0.211,2.0,13.0,13.33,514875
Gigi Perez,30,0.0,30.0,0.0,0.0,0.0,22.0,0.0,1367795
Givēon,7,4.0,3.0,57.14,1.333,4.0,3.0,57.14,691845
Gorillaz,41,3.0,38.0,7.32,0.079,2.0,34.0,5.56,6786808
Grimes,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2630673
Gunna,11,5.0,6.0,45.45,0.833,3.0,6.0,33.33,1781716
Guns N' Roses,40,6.0,34.0,15.0,0.176,4.0,31.0,11.43,5148009
Gwen Stefani,2,1.0,1.0,50.0,1.0,1.0,1.0,50.0,4414827
Halsey,6,0.0,6.0,0.0,0.0,0.0,4.0,0.0,2778773
Harry Styles,65,22.0,43.0,33.85,0.512,2.0,4.0,33.33,3207355
Hearts2Hearts,3,0.0,3.0,0.0,0.0,0.0,2.0,0.0,330565
Hole,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2083084
IVE,2,1.0,1.0,50.0,1.0,1.0,1.0,50.0,1028525
J Balvin,4,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1810029
J. Cole,67,8.0,59.0,11.94,0.136,5.0,44.0,10.2,3812159
JID,16,5.0,11.0,31.25,0.455,5.0,11.0,31.25,1372310
JPEGMAFIA,3,1.0,2.0,33.33,0.5,1.0,2.0,33.33,1215262
Jamiroquai,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2857983
Jane Remover,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,502545
Jason Derulo,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3085020
Jeff Buckley,1,1.0,0.0,100.0,,1.0,0.0,100.0,3319392
Jennie,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1463046
Jennifer Lopez,6,0.0,6.0,0.0,0.0,0.0,1.0,0.0,3743542
Joey Valence & Brae,19,6.0,13.0,31.58,0.462,6.0,12.0,33.33,965352
Joji,31,5.0,26.0,16.13,0.192,5.0,25.0,16.67,2959111
Jordana,7,1.0,6.0,14.29,0.167,1.0,6.0,14.29,1251413
Julia Wolf,2,1.0,1.0,50.0,1.0,1.0,1.0,50.0,565581
KATSEYE,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1483973
KAYTRANADA,10,6.0,4.0,60.0,1.5,5.0,4.0,55.56,1546677
Kali Uchis,3,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3016391
Kate Bush,4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,3416788
Katy Perry,4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,7053762
Keane,3,2.0,1.0,66.67,2.0,1.0,1.0,50.0,4001825
Kehlani,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1663444
Kelly Clarkson,11,0.0,11.0,0.0,0.0,0.0,2.0,0.0,4477981
Ken Carson,7,4.0,3.0,57.14,1.333,3.0,3.0,50.0,1143613
Kesha,14,4.0,10.0,28.57,0.4,2.0,8.0,20.0,3093673
Khalid,25,0.0,25.0,0.0,0.0,0.0,25.0,0.0,2274505
Kid Cudi,33,0.0,33.0,0.0,0.0,0.0,33.0,0.0,4652221
Kings of Leon,14,2.0,12.0,14.29,0.167,2.0,11.0,15.38,5096747
Kodak Black,5,0.0,5.0,0.0,0.0,0.0,5.0,0.0,1783138
Korn,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3371829
Lady Gaga,14,0.0,14.0,0.0,0.0,0.0,7.0,0.0,7638489
Laufey,3,2.0,1.0,66.67,2.0,2.0,1.0,66.67,2274538
Lauv,25,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1738318
Led Zeppelin,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4900473
Leon Thomas,38,5.0,33.0,13.16,0.152,4.0,22.0,15.38,878660
Lil Wayne,3,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3533964
Lil Yachty,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1785308
Lily Allen,40,9.0,31.0,22.5,0.29,3.0,21.0,12.5,3734697
Limp Bizkit,10,1.0,9.0,10.0,0.111,1.0,7.0,12.5,4082973
Linkin Park,14,2.0,12.0,14.29,0.167,2.0,7.0,22.22,6862406
Lisa,3,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1922545
Lit,9,0.0,9.0,0.0,0.0,0.0,9.0,0.0,1292030
Lola Young,5,1.0,4.0,20.0,0.25,1.0,4.0,20.0,1154483
Lord Huron,20,1.0,19.0,5.0,0.053,1.0,18.0,5.26,2274683
Lorde,20,2.0,18.0,10.0,0.111,2.0,13.0,13.33,3675693
Lucki,2,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1137262
Lykke Li,5,2.0,3.0,40.0,0.667,2.0,3.0,40.0,3112133
Mac DeMarco,27,5.0,22.0,18.52,0.227,3.0,21.0,12.5,3203407
Mac Miller,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3471101
Madison Beer,31,5.0,26.0,16.13,0.192,5.0,26.0,16.13,1641194
Madonna,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5528051
Magdalena Bay,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1413906
Major Lazer,8,0.0,8.0,0.0,0.0,0.0,6.0,0.0,2935616
Malcolm Todd,4,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1137463
Marina,6,1.0,5.0,16.67,0.2,1.0,5.0,16.67,2219915
Maroon 5,4,1.0,3.0,25.0,0.333,1.0,3.0,25.0,6570948
Marshmello,5,0.0,5.0,0.0,0.0,0.0,4.0,0.0,2537844
Marvin Gaye,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3716390
Massive Attack,3,1.0,2.0,33.33,0.5,1.0,2.0,33.33,3829254
Matt Maltese,3,1.0,2.0,33.33,0.5,1.0,2.0,33.33,1714246
Melanie Martinez,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2266441
Men I Trust,7,3.0,4.0,42.86,0.75,3.0,4.0,42.86,2137673
Metallica,35,5.0,30.0,14.29,0.167,3.0,6.0,33.33,5133589
Metric,20,0.0,20.0,0.0,0.0,0.0,18.0,0.0,2814702
Metro Boomin,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2445575
Miguel,26,3.0,23.0,11.54,0.13,3.0,23.0,11.54,2650534
Mitski,10,1.0,9.0,10.0,0.111,1.0,5.0,16.67,3208965
Mother Mother,4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1904919
Mumford & Sons,44,3.0,41.0,6.82,0.073,3.0,36.0,7.69,2670964
Muse,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6331374
My Chemical Romance,25,5.0,20.0,20.0,0.25,3.0,16.0,15.79,4789786
NMIXX,10,3.0,7.0,30.0,0.429,3.0,7.0,30.0,725889
Natasha Bedingfield,4,1.0,3.0,25.0,0.333,1.0,3.0,25.0,2964829
Ne-Yo,66,14.0,52.0,21.21,0.269,8.0,49.0,14.04,3319707
Nickelback,4,1.0,3.0,25.0,0.333,1.0,3.0,25.0,4326013
Nine Inch Nails,5,0.0,5.0,0.0,0.0,0.0,5.0,0.0,3573623
Nirvana,1,1.0,0.0,100.0,,1.0,0.0,100.0,7463138
No Doubt,18,0.0,18.0,0.0,0.0,0.0,1.0,0.0,3561415
Noah Kahan,31,0.0,31.0,0.0,0.0,0.0,23.0,0.0,1540832
Oasis,8,1.0,7.0,12.5,0.143,1.0,6.0,14.29,5822011
Olivia Dean,39,10.0,29.0,25.64,0.345,3.0,19.0,13.64,1347082
OneRepublic,7,3.0,4.0,42.86,0.75,3.0,4.0,42.86,4281363
OsamaSon,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,429085
P!nk,3,0.0,3.0,0.0,0.0,0.0,2.0,0.0,3734368
PEDRO SAMPAIO,4,2.0,2.0,50.0,1.0,2.0,2.0,50.0,552255
Panchiko,30,1.0,29.0,3.33,0.034,1.0,24.0,4.0,1126757
Pantera,6,3.0,3.0,50.0,1.0,2.0,3.0,40.0,2593876
Pearl Jam,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4322943
Phantogram,17,3.0,14.0,17.65,0.214,3.0,12.0,20.0,1916855
Pierce the Veil,14,0.0,14.0,0.0,0.0,0.0,13.0,0.0,2046090
Pink Floyd,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5500737
PinkPantheress,24,5.0,19.0,20.83,0.263,4.0,15.0,21.05,2940022
Pitbull,61,9.0,52.0,14.75,0.173,9.0,51.0,15.0,4347656
Pixies,14,3.0,11.0,21.43,0.273,2.0,8.0,20.0,4238889
Playboi Carti,27,15.0,12.0,55.56,1.25,5.0,6.0,45.45,2441421
Post Malone,25,0.0,25.0,0.0,0.0,0.0,22.0,0.0,3487639
Prince,30,0.0,30.0,0.0,0.0,0.0,28.0,0.0,3271069
Queen,4,1.0,3.0,25.0,0.333,1.0,3.0,25.0,7165526
Queens of the Stone Age,25,6.0,19.0,24.0,0.316,4.0,19.0,17.39,3712518
R.E.M.,6,0.0,6.0,0.0,0.0,0.0,6.0,0.0,4336303
RAYE,53,2.0,51.0,3.77,0.039,1.0,33.0,2.94,1805189
ROLE MODEL,3,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1024914
ROSALÍA,37,9.0,28.0,24.32,0.321,4.0,17.0,19.05,1825700
Radiohead,14,1.0,13.0,7.14,0.077,1.0,13.0,7.14,8156054
Rae Sremmurd,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1874744
Rage Against the Machine,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4222772
Ravyn Lenae,4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1646457
Reneé Rapp,10,5.0,5.0,50.0,1.0,4.0,4.0,50.0,983470
Rosé,1,1.0,0.0,100.0,,1.0,0.0,100.0,1648084
Sam Smith,4,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3052030
Sean Paul,6,2.0,4.0,33.33,0.5,2.0,4.0,33.33,3147458
Sienna Spiro,17,2.0,15.0,11.76,0.133,2.0,12.0,14.29,342136
Slayyyter,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,787641
Sleeping With Sirens,4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1167609
Slipknot,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4171898
Slowdive,4,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2185123
Snow Strippers,7,0.0,7.0,0.0,0.0,0.0,5.0,0.0,856486
Steely Dan,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1750392
Stevie Wonder,4,4.0,0.0,100.0,,1.0,0.0,100.0,3922898
Stone Temple Pilots,37,0.0,37.0,0.0,0.0,0.0,37.0,0.0,2472644
Stray Kids,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1326751
Sublime,14,0.0,14.0,0.0,0.0,0.0,13.0,0.0,3084498
Summer Walker,20,2.0,18.0,10.0,0.111,1.0,18.0,5.26,1712509
Swedish House Mafia,3,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2685269
System of a Down,11,6.0,5.0,54.55,1.2,4.0,4.0,50.0,5765717
TV Girl,4,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2789829
TWICE,19,5.0,14.0,26.32,0.357,3.0,10.0,23.08,1872716
Tame Impala,39,5.0,34.0,12.82,0.147,5.0,25.0,16.67,4226868
Tate McRae,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2221088
The All-American Rejects,12,2.0,10.0,16.67,0.2,2.0,8.0,20.0,3260009
The Beach Boys,20,2.0,18.0,10.0,0.111,2.0,17.0,10.53,4094817
The Beatles,9,1.0,8.0,11.11,0.125,1.0,8.0,11.11,6449944
The Chainsmokers,3,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2767530
The Cure,10,1.0,9.0,10.0,0.111,1.0,8.0,11.11,5433994
The Doors,4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4703698
The Goo Goo Dolls,47,4.0,43.0,8.51,0.093,4.0,39.0,9.3,2587117
The Kid LAROI,38,4.0,34.0,10.53,0.118,3.0,32.0,8.57,2450707
The Killers,3,0.0,3.0,0.0,0.0,0.0,2.0,0.0,6880361
The Living Tombstone,35,4.0,31.0,11.43,0.129,3.0,30.0,9.09,1293870
The Lumineers,16,2.0,14.0,12.5,0.143,2.0,12.0,14.29,2554754
The Neighbourhood,48,6.0,42.0,12.5,0.143,5.0,34.0,12.82,3893018
The Offspring,8,1.0,7.0,12.5,0.143,1.0,7.0,12.5,4540923
The Police,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4544618
The Rolling Stones,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5782594
The Script,15,0.0,15.0,0.0,0.0,0.0,7.0,0.0,2951543
The Smiths,3,1.0,2.0,33.33,0.5,1.0,2.0,33.33,5004043
The Strokes,7,0.0,7.0,0.0,0.0,0.0,4.0,0.0,5655332
Thee Sacred Souls,27,2.0,25.0,7.41,0.08,2.0,24.0,7.69,1165543
Three Days Grace,45,4.0,41.0,8.89,0.098,4.0,40.0,9.09,3841004
Thundercat,9,3.0,6.0,33.33,0.5,2.0,5.0,28.57,2007717
Tool,3,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2594673
Toto,36,0.0,36.0,0.0,0.0,0.0,36.0,0.0,3052684
Twenty One Pilots,7,1.0,6.0,14.29,0.167,1.0,5.0,16.67,3298550
Two Door Cinema Club,10,2.0,8.0,20.0,0.25,2.0,7.0,22.22,3116358
Ty Dolla $ign,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1647835
"Tyler, The Creator",6,2.0,4.0,33.33,0.5,1.0,3.0,25.0,4260131
U2,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5008787
V,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,907480
Waka Flocka Flame,8,0.0,8.0,0.0,0.0,0.0,8.0,0.0,1795475
Wet Leg,21,2.0,19.0,9.52,0.105,2.0,14.0,12.5,887225
Willow,5,0.0,5.0,0.0,0.0,0.0,5.0,0.0,2303197
Wiz Khalifa,35,0.0,35.0,0.0,0.0,0.0,35.0,0.0,3855261
Wolf Alice,16,2.0,14.0,12.5,0.143,1.0,13.0,7.14,1253639
Yeat,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1587105
ZAYN,28,2.0,26.0,7.14,0.077,2.0,26.0,7.14,2218085
Zach Bryan,35,2.0,33.0,5.71,0.061,1.0,25.0,3.85,1181473
Zara Larsson,42,3.0,39.0,7.14,0.077,3.0,35.0,7.89,2197111
Zedd,19,0.0,19.0,0.0,0.0,0.0,8.0,0.0,2560948
bbno$,34,6.0,28.0,17.65,0.214,5.0,24.0,17.24,1480504
blink-182,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4593094
bôa,2,1.0,1.0,50.0,1.0,1.0,1.0,50.0,2067030
fakemink,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,439166
i-dle,10,1.0,9.0,10.0,0.111,1.0,9.0,10.0,478173
nettspend,26,0.0,26.0,0.0,0.0,0.0,25.0,0.0,436612
sombr,16,4.0,12.0,25.0,0.333,3.0,10.0,23.08,1750199
t.A.T.u.,2,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2205883
