artist_name,track_name,rank,playcount
Billie Eilish,"What Was I Made For? [From the Motion Picture ""Barbie""]",11,20179343
Billie Eilish,i love you,12,18616260
Billie Eilish,idontwannabeyouanymore,13,14903208
Billie Eilish,bellyache,14,13954240
Billie Eilish,TV,15,18287574
Billie Eilish,you should see me in a crown,16,12352723
Billie Eilish,bury a friend,17,12750988
Billie Eilish,wish you were gay,18,11885127
Billie Eilish,Bored,19,11951721
Billie Eilish,THE GREATEST,20,17823035
Paramore,Misery Business,1,36694211
Paramore,Still Into You,2,26794472
Paramore,The Only Exception,3,23991918
Paramore,All I Wanted,4,23339450
Paramore,That's What You Get,5,18212373
Paramore,crushcrushcrush,6,19008808
Paramore,Decode,7,21457567
Paramore,Hard Times,8,18452002
Paramore,Ain't It Fun,9,14774714
Paramore,Ignorance,10,17160331
Paramore,Brick by Boring Brick,11,12897965
Paramore,Pressure,12,9609565
Paramore,Emergency,13,8244099
Paramore,When It Rains,14,7911533
Paramore,Playing God,15,9485003
Paramore,Let the Flames Begin,16,7792155
Paramore,Fences,17,7832865
Paramore,Hallelujah,18,6970606
Paramore,"For a Pessimist, I'm Pretty Optimistic",19,6830465
Paramore,Born for This,20,6589239
Bruno Mars,Locked Out of Heaven,1,24899385
Bruno Mars,Just the Way You Are,2,19381488
Bruno Mars,Grenade,3,16913194
Bruno Mars,When I Was Your Man,4,18240370
Bruno Mars,That's What I Like,5,17499130
Bruno Mars,Treasure,6,12364727
Bruno Mars,Talking to the Moon,7,13804095
Bruno Mars,24K Magic,8,11577795
Bruno Mars,The Lazy Song,9,8994690
Bruno Mars,Marry You,10,10025635
Bruno Mars,Leave the Door Open,11,13209685
Bruno Mars,It Will Rain,12,10838098
Bruno Mars,Runaway Baby,13,8981964
Bruno Mars,Smokin Out The Window,14,10101248
Bruno Mars,Count on Me,15,5224131
Bruno Mars,After Last Night (with Thundercat & Bootsy Collins),16,6975478
Bruno Mars,Finesse - Remix; feat. Cardi B,17,5197106
Bruno Mars,Versace on the Floor,18,6153290
Bruno Mars,Finesse,19,4815431
Bruno Mars,Skate,20,5504197
Gorillaz,Feel Good Inc.,1,38981368
Gorillaz,Clint Eastwood,2,22505661
Gorillaz,On Melancholy Hill,3,27470049
Gorillaz,DARE,4,19394113
Gorillaz,Rhinestone Eyes,5,18737773
Gorillaz,Dirty Harry,6,11934682
Gorillaz,Kids with Guns,7,10255950
Gorillaz,19-2000,8,8780244
Gorillaz,She's My Collar (feat. Kali Uchis),9,14874867
Gorillaz,November Has Come,10,7538175
Gorillaz,O Green World,11,7057898
Gorillaz,Last Living Souls,12,5790837
Gorillaz,Tomorrow Comes Today,13,6673742
Gorillaz,Every Planet We Reach Is Dead,14,5492580
Gorillaz,Empire Ants (feat. Little Dragon),15,9193943
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),16,8110073
Gorillaz,El Mañana,17,5867377
Gorillaz,Feel Good Inc,18,6458871
Gorillaz,All Alone,19,4800894
Gorillaz,Intro,20,3630997
Bad Bunny,DtMF,1,15621978
Bad Bunny,NUEVAYoL,2,11963001
Bad Bunny,Tití Me Preguntó,3,12086968
Bad Bunny,BAILE INoLVIDABLE,4,12335508
Bad Bunny,EoO,5,9413327
Bad Bunny,VOY A LLeVARTE PA PR,6,9103056
Bad Bunny,Me Porto Bonito,7,9684573
Bad Bunny,Moscow Mule,8,8987947
Bad Bunny,DÁKITI,9,7861669
Bad Bunny,VeLDÁ,10,6462953
Bad Bunny,MONACO,11,5317087
Bad Bunny,Ojitos Lindos,12,7611111
Bad Bunny,Otro Atardecer,13,6628364
Bad Bunny,WELTiTA,14,4684693
Bad Bunny,Callaita,15,5687185
Bad Bunny,PERFuMITO NUEVO,16,4304663
Bad Bunny,KLOuFRENS,17,5001071
Bad Bunny,EL CLúB,18,4551431
Bad Bunny,Efecto,19,6661324
Bad Bunny,Neverita,20,6114365
A$AP Rocky,Sundress,1,24972068
A$AP Rocky,Praise the Lord (Da Shine) (feat. Skepta),2,17889730
A$AP Rocky,Fashion Killa,3,17701571
A$AP Rocky,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),4,17946544
A$AP Rocky,LVL,5,14034695
A$AP Rocky,L$D,6,12806466
A$AP Rocky,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",7,9838129
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",8,9200234
A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2),9,10065706
A$AP Rocky,Peso,10,8173907
A$AP Rocky,Jukebox Joints (feat. Joe Fox & Kanye West),11,10773650
A$AP Rocky,Goldie,12,5420066
A$AP Rocky,Purity (feat. Frank Ocean),13,6608935
A$AP Rocky,Wassup,14,4915673
A$AP Rocky,Sandman,15,6019656
A$AP Rocky,R - Cali,16,3190356
A$AP Rocky,Fukk Sleep (feat. FKA twigs),17,4032113
A$AP Rocky,Long Live A$AP,18,3627218
A$AP Rocky,Purple Swag,19,3459388
A$AP Rocky,Babushka Boi,20,4433775
Chappell Roan,"Good Luck, Babe!",1,58654076
Chappell Roan,HOT TO GO!,2,32844420
Chappell Roan,Pink Pony Club,3,26389021
Chappell Roan,Red Wine Supernova,4,31490052
Chappell Roan,Casual,5,29579049
Chappell Roan,Femininomenon,6,19659240
Chappell Roan,My Kink Is Karma,7,19771385
Chappell Roan,The Subway,8,16526966
Chappell Roan,Naked in Manhattan,9,14816417
Chappell Roan,Picture You,10,13051221
Chappell Roan,Super Graphic Ultra Modern Girl,11,13892378
Chappell Roan,After Midnight,12,12511257
Chappell Roan,The Giver,13,7446907
Chappell Roan,Coffee,14,6024771
